pairAlgs	q1vsq2	QI1	QI2	OverallAgreement	kTestEst	kTestJudg	kTestPvalue	bowkerP
CELLDE_NSGAII	IGDvsPFS	IGD	PFS	0.9	0.705882352941177	Substantial agreement	0.0545625914584927	NA
CELLDE_NSGAII	IGDvsC	IGD	C	0.7	0.464285714285714	Moderate agreement	0.0488251389409671	NA
CELLDE_NSGAII	EPvsGD	EP	GD	0.8	0.411764705882353	Moderate agreement	0.175002324849682	NA
CELLDE_NSGAII	EPvsGS	EP	GS	0.6	0.333333333333333	Fair agreement	0.0983528012294734	0.261464129949111
CELLDE_NSGAII	EPvsED	EP	ED	0.8	0.523809523809524	Moderate agreement	0.0793345963040594	NA
CELLDE_NSGAII	EPvsPFS	EP	PFS	0.8	0.51219512195122	Moderate agreement	0.0884742955775919	NA
CELLDE_NSGAII	EPvsC	EP	C	0.7	0.491525423728813	Moderate agreement	0.0311204376369842	NA
CELLDE_NSGAII	GDvsGS	GD	GS	0.5	0.166666666666667	Slight agreement	0.259302508214363	NA
CELLDE_NSGAII	GDvsED	GD	ED	0.8	0.411764705882353	Moderate agreement	0.175002324849682	NA
CELLDE_NSGAII	GDvsPFS	GD	PFS	0.8	0.259259259259259	Fair agreement	0.309029610102355	NA
CELLDE_NSGAII	GDvsC	GD	C	0.6	0.245283018867924	Fair agreement	0.205061798554966	NA
CELLDE_NSGAII	GSvsED	GS	ED	0.6	0.333333333333333	Fair agreement	0.0983528012294734	0.261464129949111
CELLDE_NSGAII	GSvsPFS	GS	PFS	0.5	0.193548387096774	Slight agreement	0.217167152017719	0.171797144296733
CELLDE_NSGAII	GSvsC	GS	C	0.7	0.545454545454545	Moderate agreement	0.00812600548667386	NA
CELLDE_NSGAII	EDvsPFS	ED	PFS	0.8	0.51219512195122	Moderate agreement	0.0884742955775919	NA
CELLDE_NSGAII	EDvsC	ED	C	0.7	0.491525423728813	Moderate agreement	0.0311204376369842	NA
CELLDE_NSGAII	PFSvsC	PFS	C	0.6	0.272727272727273	Fair agreement	0.170177871192601	NA
CELLDE_PAES	HVvsIGD	HV	IGD	0.8	0.545454545454546	Moderate agreement	0.0631394642773488	NA
CELLDE_PAES	HVvsEP	HV	EP	1	1	Perfect agreement	0	1
CELLDE_PAES	HVvsGD	HV	GD	0.8	0.545454545454546	Moderate agreement	0.0631394642773488	NA
CELLDE_PAES	HVvsGS	HV	GS	0.8	0	Slight agreement	0.5	NA
CELLDE_PAES	HVvsED	HV	ED	0.7	0.210526315789474	Fair agreement	0.301114589389705	NA
CELLDE_PAES	HVvsPFS	HV	PFS	0.3	-0.09375	No agreement	0.65368360797902	NA
CELLDE_PAES	HVvsC	HV	C	0.3	0.0277777777777778	Slight agreement	0.443990649424909	0.0718977724964651
CELLDE_PAES	IGDvsEP	IGD	EP	0.8	0.545454545454546	Moderate agreement	0.0631394642773488	NA
CELLDE_PAES	IGDvsGD	IGD	GD	1	1	Perfect agreement	0	1
CELLDE_PAES	IGDvsGS	IGD	GS	0.6	0	Slight agreement	0.5	NA
CELLDE_PAES	IGDvsED	IGD	ED	0.9	0.782608695652174	Substantial agreement	0.0111810364266363	NA
CELLDE_PAES	IGDvsPFS	IGD	PFS	0.5	0.137931034482759	Slight agreement	0.304126830747417	NA
CELLDE_PAES	IGDvsC	IGD	C	0.5	0.324324324324324	Fair agreement	0.0417928626680829	NA
CELLDE_PAES	EPvsGD	EP	GD	0.8	0.545454545454546	Moderate agreement	0.0631394642773488	NA
CELLDE_PAES	EPvsGS	EP	GS	0.8	0	Slight agreement	0.5	NA
CELLDE_PAES	EPvsED	EP	ED	0.7	0.210526315789474	Fair agreement	0.301114589389705	NA
CELLDE_PAES	EPvsPFS	EP	PFS	0.3	-0.09375	No agreement	0.65368360797902	NA
CELLDE_PAES	EPvsC	EP	C	0.3	0.0277777777777778	Slight agreement	0.443990649424909	0.0718977724964651
CELLDE_PAES	GDvsGS	GD	GS	0.6	0	Slight agreement	0.5	NA
CELLDE_PAES	GDvsED	GD	ED	0.9	0.782608695652174	Substantial agreement	0.0111810364266363	NA
CELLDE_PAES	GDvsPFS	GD	PFS	0.5	0.137931034482759	Slight agreement	0.304126830747417	NA
CELLDE_PAES	GDvsC	GD	C	0.5	0.324324324324324	Fair agreement	0.0417928626680829	NA
CELLDE_PAES	GSvsED	GS	ED	0.7	0	Slight agreement	0.5	NA
CELLDE_PAES	GSvsPFS	GS	PFS	0.3	0	Slight agreement	0.5	NA
CELLDE_PAES	GSvsC	GS	C	0.3	0	Slight agreement	0.5	NA
CELLDE_PAES	EDvsPFS	ED	PFS	0.4	0.0163934426229508	Slight agreement	0.474153087391492	NA
CELLDE_PAES	EDvsC	ED	C	0.5	0.315068493150685	Fair agreement	0.0506830669063839	NA
CELLDE_PAES	PFSvsC	PFS	C	0.5	0.324324324324324	Fair agreement	0.0417928626680829	0.171797144296733
CELLDE_SMPSO	HVvsIGD	HV	IGD	0.9	0.75	Substantial agreement	0.0264037557080568	NA
CELLDE_SMPSO	HVvsEP	HV	EP	0.9	0.75	Substantial agreement	0.0264037557080568	NA
CELLDE_SMPSO	HVvsGD	HV	GD	0.8	0.642857142857143	Substantial agreement	0.0109121378130268	NA
CELLDE_SMPSO	HVvsGS	HV	GS	0.4	-0.0909090909090909	No agreement	0.624689587917185	NA
CELLDE_SMPSO	HVvsED	HV	ED	0.9	0.803921568627451	Almost perfect agreement	0.00474903285016182	NA
CELLDE_SMPSO	HVvsPFS	HV	PFS	0.4	0.0322580645161291	Slight agreement	0.448164784887296	0.343030146138244
CELLDE_SMPSO	HVvsC	HV	C	0.4	0.220779220779221	Fair agreement	0.100723926800528	NA
CELLDE_SMPSO	IGDvsEP	IGD	EP	1	1	Perfect agreement	0	1
CELLDE_SMPSO	IGDvsGD	IGD	GD	0.7	0.423076923076923	Moderate agreement	0.0818830047117942	NA
CELLDE_SMPSO	IGDvsGS	IGD	GS	0.5	0	Slight agreement	0.5	NA
CELLDE_SMPSO	IGDvsED	IGD	ED	0.8	0.565217391304348	Moderate agreement	0.0495050398030771	NA
CELLDE_SMPSO	IGDvsPFS	IGD	PFS	0.4	0	Slight agreement	0.5	NA
CELLDE_SMPSO	IGDvsC	IGD	C	0.3	0.146341463414634	Slight agreement	0.161642547756782	NA
CELLDE_SMPSO	EPvsGD	EP	GD	0.7	0.423076923076923	Moderate agreement	0.0818830047117942	NA
CELLDE_SMPSO	EPvsGS	EP	GS	0.5	0	Slight agreement	0.5	NA
CELLDE_SMPSO	EPvsED	EP	ED	0.8	0.565217391304348	Moderate agreement	0.0495050398030771	NA
CELLDE_SMPSO	EPvsPFS	EP	PFS	0.4	0	Slight agreement	0.5	NA
CELLDE_SMPSO	EPvsC	EP	C	0.3	0.146341463414634	Slight agreement	0.161642547756782	NA
CELLDE_SMPSO	GDvsGS	GD	GS	0.6	0.272727272727273	Fair agreement	0.170177871192601	NA
CELLDE_SMPSO	GDvsED	GD	ED	0.9	0.824561403508772	Almost perfect agreement	0.00134058851386287	NA
CELLDE_SMPSO	GDvsPFS	GD	PFS	0.5	0.193548387096774	Slight agreement	0.217167152017719	0.801251956901201
CELLDE_SMPSO	GDvsC	GD	C	0.3	0.113924050632911	Slight agreement	0.242355399682561	0.0718977724964651
CELLDE_SMPSO	GSvsED	GS	ED	0.5	0.0909090909090909	Slight agreement	0.375310412082815	NA
CELLDE_SMPSO	GSvsPFS	GS	PFS	0.5	0.166666666666667	Slight agreement	0.259302508214363	NA
CELLDE_SMPSO	GSvsC	GS	C	0.2	0.0588235294117647	Slight agreement	0.328952509714241	0.0460117056892314
CELLDE_SMPSO	EDvsPFS	ED	PFS	0.4	0.0322580645161291	Slight agreement	0.448164784887296	0.72123337462776
CELLDE_SMPSO	EDvsC	ED	C	0.3	0.102564102564103	Slight agreement	0.270697508389696	0.0718977724964651
CELLDE_SMPSO	PFSvsC	PFS	C	0.2	-0.0810810810810811	No agreement	0.667333626893986	0.14895400671142
CELLDE_SPEA2	HVvsIGD	HV	IGD	1	1	Perfect agreement	0	1
CELLDE_SPEA2	HVvsEP	HV	EP	1	1	Perfect agreement	0	1
CELLDE_SPEA2	HVvsGD	HV	GD	0.9	0.736842105263158	Substantial agreement	0.0340615756222619	NA
CELLDE_SPEA2	HVvsGS	HV	GS	0.7	0.473684210526316	Moderate agreement	0.0422984573014801	NA
CELLDE_SPEA2	HVvsED	HV	ED	0.8	0.591836734693878	Moderate agreement	0.0332907954271444	NA
CELLDE_SPEA2	HVvsPFS	HV	PFS	0.8	0.51219512195122	Moderate agreement	0.0884742955775919	NA
CELLDE_SPEA2	HVvsC	HV	C	0.8	0.555555555555556	Moderate agreement	0.0560184218427818	NA
CELLDE_SPEA2	IGDvsEP	IGD	EP	1	1	Perfect agreement	0	1
CELLDE_SPEA2	IGDvsGD	IGD	GD	0.9	0.736842105263158	Substantial agreement	0.0340615756222619	NA
CELLDE_SPEA2	IGDvsGS	IGD	GS	0.7	0.473684210526316	Moderate agreement	0.0422984573014801	NA
CELLDE_SPEA2	IGDvsED	IGD	ED	0.8	0.591836734693878	Moderate agreement	0.0332907954271444	NA
CELLDE_SPEA2	IGDvsPFS	IGD	PFS	0.8	0.51219512195122	Moderate agreement	0.0884742955775919	NA
CELLDE_SPEA2	IGDvsC	IGD	C	0.8	0.555555555555556	Moderate agreement	0.0560184218427818	NA
CELLDE_SPEA2	EPvsGD	EP	GD	0.9	0.736842105263158	Substantial agreement	0.0340615756222619	NA
CELLDE_SPEA2	EPvsGS	EP	GS	0.7	0.473684210526316	Moderate agreement	0.0422984573014801	NA
CELLDE_SPEA2	EPvsED	EP	ED	0.8	0.591836734693878	Moderate agreement	0.0332907954271444	NA
CELLDE_SPEA2	EPvsPFS	EP	PFS	0.8	0.51219512195122	Moderate agreement	0.0884742955775919	NA
CELLDE_SPEA2	EPvsC	EP	C	0.8	0.555555555555556	Moderate agreement	0.0560184218427818	NA
CELLDE_SPEA2	GDvsGS	GD	GS	0.6	0.310344827586207	Fair agreement	0.12439822718825	NA
CELLDE_SPEA2	GDvsED	GD	ED	0.8	0.565217391304348	Moderate agreement	0.0495050398030771	NA
CELLDE_SPEA2	GDvsPFS	GD	PFS	0.7	0.117647058823529	Slight agreement	0.394725751256741	NA
CELLDE_SPEA2	GDvsC	GD	C	0.7	0.25	Fair agreement	0.259302508214363	NA
CELLDE_SPEA2	GSvsED	GS	ED	0.7	0.5	Moderate agreement	0.0264037557080569	0.391625176271089
CELLDE_SPEA2	GSvsPFS	GS	PFS	0.5	0.193548387096774	Slight agreement	0.217167152017719	0.171797144296733
CELLDE_SPEA2	GSvsC	GS	C	0.6	0.344262295081967	Fair agreement	0.086675674818037	0.261464129949111
CELLDE_SPEA2	EDvsPFS	ED	PFS	0.6	0.166666666666667	Slight agreement	0.306298576423549	NA
CELLDE_SPEA2	EDvsC	ED	C	0.7	0.411764705882353	Moderate agreement	0.0920193135982128	NA
CELLDE_SPEA2	PFSvsC	PFS	C	0.7	0.268292682926829	Fair agreement	0.239704657704977	NA
MOCELL_NSGAII	HVvsIGD	HV	IGD	1	1	Perfect agreement	0	1
MOCELL_NSGAII	HVvsEP	HV	EP	1	1	Perfect agreement	0	1
MOCELL_NSGAII	HVvsGD	HV	GD	0.727272727272727	-0.137931034482759	No agreement	0.601349028481754	NA
MOCELL_NSGAII	HVvsGS	HV	GS	0.909090909090909	0.620689655172414	Substantial agreement	0.123885164071896	NA
MOCELL_NSGAII	HVvsED	HV	ED	0.727272727272727	0.175	Slight agreement	0.341684519844045	0.391625176271089
MOCELL_NSGAII	HVvsPFS	HV	PFS	0.727272727272727	0.195121951219512	Slight agreement	0.321579601337985	NA
MOCELL_NSGAII	HVvsC	HV	C	0.363636363636364	0.0375	Slight agreement	0.431037909197325	0.0718977724964651
MOCELL_NSGAII	IGDvsEP	IGD	EP	1	1	Perfect agreement	0	1
MOCELL_NSGAII	IGDvsGD	IGD	GD	0.727272727272727	-0.137931034482759	No agreement	0.601349028481754	NA
MOCELL_NSGAII	IGDvsGS	IGD	GS	0.909090909090909	0.620689655172414	Substantial agreement	0.123885164071896	NA
MOCELL_NSGAII	IGDvsED	IGD	ED	0.727272727272727	0.175	Slight agreement	0.341684519844045	0.391625176271089
MOCELL_NSGAII	IGDvsPFS	IGD	PFS	0.727272727272727	0.195121951219512	Slight agreement	0.321579601337985	NA
MOCELL_NSGAII	IGDvsC	IGD	C	0.363636363636364	0.0375	Slight agreement	0.431037909197325	0.0718977724964651
MOCELL_NSGAII	EPvsGD	EP	GD	0.727272727272727	-0.137931034482759	No agreement	0.601349028481754	NA
MOCELL_NSGAII	EPvsGS	EP	GS	0.909090909090909	0.620689655172414	Substantial agreement	0.123885164071896	NA
MOCELL_NSGAII	EPvsED	EP	ED	0.727272727272727	0.175	Slight agreement	0.341684519844045	0.391625176271089
MOCELL_NSGAII	EPvsPFS	EP	PFS	0.727272727272727	0.195121951219512	Slight agreement	0.321579601337985	NA
MOCELL_NSGAII	EPvsC	EP	C	0.363636363636364	0.0375	Slight agreement	0.431037909197325	0.0718977724964651
MOCELL_NSGAII	GDvsGS	GD	GS	0.636363636363636	-0.222222222222222	No agreement	0.684262315168626	NA
MOCELL_NSGAII	GDvsED	GD	ED	0.818181818181818	0.531914893617021	Moderate agreement	0.0798686756673477	NA
MOCELL_NSGAII	GDvsPFS	GD	PFS	0.636363636363636	0.102040816326531	Slight agreement	0.39004896609766	0.261464129949111
MOCELL_NSGAII	GDvsC	GD	C	0.454545454545455	0.204819277108434	Fair agreement	0.157700056070916	NA
MOCELL_NSGAII	GSvsED	GS	ED	0.636363636363636	0.0638297872340424	Slight agreement	0.433010545461922	0.572406704470879
MOCELL_NSGAII	GSvsPFS	GS	PFS	0.636363636363636	0.102040816326531	Slight agreement	0.39004896609766	0.261464129949111
MOCELL_NSGAII	GSvsC	GS	C	0.363636363636364	0.072289156626506	Slight agreement	0.36154309631635	0.0718977724964651
MOCELL_NSGAII	EDvsPFS	ED	PFS	0.818181818181818	0.568627450980392	Moderate agreement	0.0537254943195707	NA
MOCELL_NSGAII	EDvsC	ED	C	0.454545454545455	0.131578947368421	Slight agreement	0.285312634545341	NA
MOCELL_NSGAII	PFSvsC	PFS	C	0.545454545454545	0.225352112676056	Fair agreement	0.186561192495389	NA
MOCELL_PAES	HVvsIGD	HV	IGD	0.818181818181818	0.592592592592593	Moderate agreement	0.0388272061272475	NA
MOCELL_PAES	HVvsEP	HV	EP	0.909090909090909	0.744186046511628	Substantial agreement	0.0334319466777602	NA
MOCELL_PAES	HVvsGD	HV	GD	0.636363636363636	0.228070175438596	Fair agreement	0.237657267009162	0.261464129949111
MOCELL_PAES	HVvsGS	HV	GS	0.727272727272727	0.388888888888889	Fair agreement	0.12344681864455	0.391625176271089
MOCELL_PAES	HVvsED	HV	ED	0.636363636363636	0.343283582089552	Fair agreement	0.102362148567774	0.261464129949111
MOCELL_PAES	HVvsPFS	HV	PFS	0.272727272727273	-0.0602409638554217	No agreement	0.616110385062599	0.14895400671142
MOCELL_PAES	HVvsC	HV	C	0.363636363636364	-0.0547945205479451	No agreement	0.588666764137662	NA
MOCELL_PAES	IGDvsEP	IGD	EP	0.818181818181818	0.531914893617021	Moderate agreement	0.0798686756673477	NA
MOCELL_PAES	IGDvsGD	IGD	GD	0.727272727272727	0.352941176470588	Fair agreement	0.158858761689693	NA
MOCELL_PAES	IGDvsGS	IGD	GS	0.818181818181818	0.576923076923077	Moderate agreement	0.048348371235298	NA
MOCELL_PAES	IGDvsED	IGD	ED	0.818181818181818	0.661538461538462	Substantial agreement	0.00904383855860469	NA
MOCELL_PAES	IGDvsPFS	IGD	PFS	0.363636363636364	0	Slight agreement	0.5	0.261464129949111
MOCELL_PAES	IGDvsC	IGD	C	0.272727272727273	0.0112359550561797	Slight agreement	0.475222532167283	0.0460117056892314
MOCELL_PAES	EPvsGD	EP	GD	0.636363636363636	0.102040816326531	Slight agreement	0.39004896609766	0.261464129949111
MOCELL_PAES	EPvsGS	EP	GS	0.818181818181818	0.531914893617021	Moderate agreement	0.0798686756673477	NA
MOCELL_PAES	EPvsED	EP	ED	0.636363636363636	0.301587301587302	Fair agreement	0.148595742212551	0.261464129949111
MOCELL_PAES	EPvsPFS	EP	PFS	0.272727272727273	-0.0864197530864198	No agreement	0.658315480155955	0.14895400671142
MOCELL_PAES	EPvsC	EP	C	0.272727272727273	-0.128205128205128	No agreement	0.716570558131409	NA
MOCELL_PAES	GDvsGS	GD	GS	0.727272727272727	0.352941176470588	Fair agreement	0.158858761689693	NA
MOCELL_PAES	GDvsED	GD	ED	0.727272727272727	0.484375	Moderate agreement	0.0443515838168346	0.391625176271089
MOCELL_PAES	GDvsPFS	GD	PFS	0.636363636363636	0.405405405405405	Moderate agreement	0.0457875879239985	NA
MOCELL_PAES	GDvsC	GD	C	0.272727272727273	0.0927835051546392	Slight agreement	0.268072376343484	NA
MOCELL_PAES	GSvsED	GS	ED	0.818181818181818	0.661538461538462	Substantial agreement	0.00904383855860469	NA
MOCELL_PAES	GSvsPFS	GS	PFS	0.363636363636364	0	Slight agreement	0.5	0.261464129949111
MOCELL_PAES	GSvsC	GS	C	0.272727272727273	0.0112359550561797	Slight agreement	0.475222532167283	0.0460117056892314
MOCELL_PAES	EDvsPFS	ED	PFS	0.363636363636364	0.0128205128205129	Slight agreement	0.477165708494267	0.644369805637025
MOCELL_PAES	EDvsC	ED	C	0.181818181818182	-0.137931034482759	No agreement	0.76784752584445	0.129003061437436
MOCELL_PAES	PFSvsC	PFS	C	0.454545454545455	0.290322580645161	Fair agreement	0.039642616734368	NA
MOCELL_SMPSO	HVvsIGD	HV	IGD	0.818181818181818	0.681159420289855	Substantial agreement	0.00462918117728306	NA
MOCELL_SMPSO	HVvsEP	HV	EP	0.818181818181818	0.65625	Substantial agreement	0.0105465789098156	NA
MOCELL_SMPSO	HVvsGD	HV	GD	0.454545454545455	0.108108108108108	Slight agreement	0.326389201774348	NA
MOCELL_SMPSO	HVvsGS	HV	GS	0.727272727272727	0.326530612244898	Fair agreement	0.185818148671792	NA
MOCELL_SMPSO	HVvsED	HV	ED	0.454545454545455	0.0434782608695652	Slight agreement	0.434035854216801	0.391625176271089
MOCELL_SMPSO	HVvsPFS	HV	PFS	0.545454545454545	0.202898550724638	Fair agreement	0.219118971304797	0.171797144296733
MOCELL_SMPSO	HVvsC	HV	C	0.454545454545455	0.258426966292135	Fair agreement	0.0764444561741686	0.111610225094713
MOCELL_SMPSO	IGDvsEP	IGD	EP	0.818181818181818	0.681159420289855	Substantial agreement	0.00462918117728306	NA
MOCELL_SMPSO	IGDvsGD	IGD	GD	0.636363636363636	0.343283582089552	Fair agreement	0.102362148567774	NA
MOCELL_SMPSO	IGDvsGS	IGD	GS	0.636363636363636	0.228070175438597	Fair agreement	0.237657267009162	NA
MOCELL_SMPSO	IGDvsED	IGD	ED	0.636363636363636	0.323076923076923	Fair agreement	0.124163408844421	NA
MOCELL_SMPSO	IGDvsPFS	IGD	PFS	0.545454545454545	0.225352112676056	Fair agreement	0.186561192495389	0.171797144296733
MOCELL_SMPSO	IGDvsC	IGD	C	0.363636363636364	0.153846153846154	Slight agreement	0.187088834791911	0.0718977724964651
MOCELL_SMPSO	EPvsGD	EP	GD	0.454545454545455	0.108108108108108	Slight agreement	0.326389201774348	NA
MOCELL_SMPSO	EPvsGS	EP	GS	0.727272727272727	0.326530612244898	Fair agreement	0.185818148671792	NA
MOCELL_SMPSO	EPvsED	EP	ED	0.454545454545455	0.0434782608695652	Slight agreement	0.434035854216801	0.391625176271089
MOCELL_SMPSO	EPvsPFS	EP	PFS	0.454545454545455	0.0434782608695652	Slight agreement	0.434035854216801	0.72123337462776
MOCELL_SMPSO	EPvsC	EP	C	0.454545454545455	0.258426966292135	Fair agreement	0.0764444561741686	0.111610225094713
MOCELL_SMPSO	GDvsGS	GD	GS	0.545454545454545	0.153846153846154	Slight agreement	0.291253932795847	NA
MOCELL_SMPSO	GDvsED	GD	ED	0.909090909090909	0.819672131147541	Almost perfect agreement	0.00306163901787038	NA
MOCELL_SMPSO	GDvsPFS	GD	PFS	0.636363636363636	0.397260273972603	Fair agreement	0.0520976540260107	0.261464129949111
MOCELL_SMPSO	GDvsC	GD	C	0.454545454545455	0.290322580645161	Fair agreement	0.039642616734368	NA
MOCELL_SMPSO	GSvsED	GS	ED	0.636363636363636	0.214285714285714	Fair agreement	0.254732731891434	NA
MOCELL_SMPSO	GSvsPFS	GS	PFS	0.636363636363636	0.241379310344828	Fair agreement	0.221202151623219	NA
MOCELL_SMPSO	GSvsC	GS	C	0.272727272727273	0.102040816326531	Slight agreement	0.242405644681088	NA
MOCELL_SMPSO	EDvsPFS	ED	PFS	0.545454545454545	0.214285714285714	Fair agreement	0.202525938908153	0.506165219093909
MOCELL_SMPSO	EDvsC	ED	C	0.454545454545455	0.297872340425532	Fair agreement	0.032638726759304	NA
MOCELL_SMPSO	PFSvsC	PFS	C	0.363636363636364	0.125	Slight agreement	0.249201961900233	0.227647113061301
MOCELL_SPEA2	HVvsIGD	HV	IGD	0.909090909090909	0	Slight agreement	0.5	NA
MOCELL_SPEA2	HVvsEP	HV	EP	0.909090909090909	0	Slight agreement	0.5	NA
MOCELL_SPEA2	HVvsGD	HV	GD	0.636363636363636	-0.1	No agreement	0.592145944243695	NA
MOCELL_SPEA2	HVvsGS	HV	GS	0.909090909090909	0	Slight agreement	0.5	NA
MOCELL_SPEA2	HVvsED	HV	ED	0.636363636363636	-0.128205128205128	No agreement	0.615331652159037	NA
MOCELL_SPEA2	HVvsPFS	HV	PFS	0.818181818181818	0.421052631578948	Moderate agreement	0.172355170310789	NA
MOCELL_SPEA2	HVvsC	HV	C	0.545454545454545	0.166666666666667	Slight agreement	0.272413425258633	NA
MOCELL_SPEA2	IGDvsEP	IGD	EP	1	1	Perfect agreement	0	1
MOCELL_SPEA2	IGDvsGD	IGD	GD	0.727272727272727	0	Slight agreement	0.5	NA
MOCELL_SPEA2	IGDvsGS	IGD	GS	1	1	Perfect agreement	0	1
MOCELL_SPEA2	IGDvsED	IGD	ED	0.727272727272727	0	Slight agreement	0.5	NA
MOCELL_SPEA2	IGDvsPFS	IGD	PFS	0.727272727272727	0	Slight agreement	0.5	NA
MOCELL_SPEA2	IGDvsC	IGD	C	0.454545454545455	0	Slight agreement	0.5	NA
MOCELL_SPEA2	EPvsGD	EP	GD	0.727272727272727	0	Slight agreement	0.5	NA
MOCELL_SPEA2	EPvsGS	EP	GS	1	1	Perfect agreement	0	1
MOCELL_SPEA2	EPvsED	EP	ED	0.727272727272727	0	Slight agreement	0.5	NA
MOCELL_SPEA2	EPvsPFS	EP	PFS	0.727272727272727	0	Slight agreement	0.5	NA
MOCELL_SPEA2	EPvsC	EP	C	0.454545454545455	0	Slight agreement	0.5	NA
MOCELL_SPEA2	GDvsGS	GD	GS	0.727272727272727	0	Slight agreement	0.5	NA
MOCELL_SPEA2	GDvsED	GD	ED	0.818181818181818	0.584905660377359	Moderate agreement	0.0433895537461588	NA
MOCELL_SPEA2	GDvsPFS	GD	PFS	0.636363636363636	0.185185185185185	Slight agreement	0.290681795419735	NA
MOCELL_SPEA2	GDvsC	GD	C	0.545454545454545	0.256756756756757	Fair agreement	0.142641620735209	NA
