Alg	q1vsq2	QI1	QI2	OverallAgreement	kTestEst	kTestJudg	kTestPvalue	bowkerP
PAES	IGDvsGS	IGD	GS	0.796296296296296	0.623812539582014	Substantial agreement	3.1516344067839e-07	0.682270330336213
PAES	IGDvsED	IGD	ED	0.796296296296296	0.64087061668682	Substantial agreement	3.49463479265566e-08	0.246445602523997
NSGAII	IGDvsED	IGD	ED	0.777777777777778	0.619718309859155	Substantial agreement	3.33645093775203e-08	0.197897126210368
PAES	EPvsGD	EP	GD	0.777777777777778	0.572277227722772	Moderate agreement	0.00000612439411962207	0.774392516971433
PAES	GDvsED	GD	ED	0.777777777777778	0.602697731453096	Substantial agreement	3.02412101249594e-07	0.209336231654127
SMPSO	IGDvsGD	IGD	GD	0.777777777777778	0.583815028901734	Moderate agreement	0.00000219455249184097	0.343030146138244
SPEA2	IGDvsGD	IGD	GD	0.777777777777778	0.389830508474576	Fair agreement	0.0150753897461997	NA
CELLDE	EPvsGD	EP	GD	0.76	0.519615692554043	Moderate agreement	0.000120660136535333	NA
MOCELL	HVvsGS	HV	GS	0.759259259259259	0.545336787564767	Moderate agreement	0.000010632928651666	0.152032060052424
MOCELL	IGDvsGS	IGD	GS	0.759259259259259	0.510460251046025	Moderate agreement	0.000112191016740315	0.420515605406217
MOCELL	IGDvsED	IGD	ED	0.759259259259259	0.546511627906977	Moderate agreement	0.00000968318582095229	0.232219143924261
SMPSO	IGDvsED	IGD	ED	0.759259259259259	0.543859649122807	Moderate agreement	0.0000119422169886363	NA
SPEA2	IGDvsGS	IGD	GS	0.759259259259259	0.485714285714286	Moderate agreement	0.000406388420098103	0.0233313604308315
MOCELL	IGDvsGD	IGD	GD	0.740740740740741	0.486761710794297	Moderate agreement	0.000150786734965269	0.351456574160634
SPEA2	HVvsGS	HV	GS	0.740740740740741	0.48606390210741	Moderate agreement	0.000156789279646685	0.322619662047178
SPEA2	IGDvsED	IGD	ED	0.740740740740741	0.411214953271028	Moderate agreement	0.00367748428112691	0.129003061437436
SPEA2	EPvsGS	EP	GS	0.740740740740741	0.470958712386284	Moderate agreement	0.000346087403781836	0.391625176271089
CELLDE	EPvsED	EP	ED	0.74	0.495341614906832	Moderate agreement	0.000152661222949768	0.553754104502146
NSGAII	HVvsGD	HV	GD	0.722222222222222	0.49501246882793	Moderate agreement	0.0000288459756428994	0.699862140668135
NSGAII	EPvsGS	EP	GS	0.722222222222222	0.497206703910614	Moderate agreement	0.0000245851901879979	0.845113421681593
NSGAII	GDvsED	GD	ED	0.722222222222222	0.528795811518325	Moderate agreement	0.00000160680062777363	0.481345293629212
SPEA2	GDvsED	GD	ED	0.722222222222222	0.369158878504673	Fair agreement	0.00805960738096123	0.193954544586844
NSGAII	HVvsGS	HV	GS	0.703703703703704	0.464684014869888	Moderate agreement	0.0000717948444005634	0.72123337462776
NSGAII	IGDvsGS	IGD	GS	0.703703703703704	0.455576559546314	Moderate agreement	0.000126926412230555	NA
NSGAII	EPvsGD	EP	GD	0.703703703703704	0.461682242990654	Moderate agreement	0.0000870716233071223	0.72123337462776
PAES	GDvsGS	GD	GS	0.703703703703704	0.440414507772021	Moderate agreement	0.000298198911969694	0.506165219093909
SPEA2	EPvsGD	EP	GD	0.703703703703704	0.276381909547739	Fair agreement	0.04540037879351	NA
PAES	HVvsED	HV	ED	0.685185185185185	0.449310137972406	Moderate agreement	0.000068248739120258	0.227647113061301
PAES	GSvsED	GS	ED	0.685185185185185	0.449970041941282	Moderate agreement	0.0000652833040845069	0.391625176271089
SMPSO	HVvsGD	HV	GD	0.685185185185185	0.418987341772152	Moderate agreement	0.000406559037876897	0.134428271562245
SPEA2	HVvsGD	HV	GD	0.685185185185185	0.2590799031477	Fair agreement	0.0508739080386817	NA
MOCELL	GSvsED	GS	ED	0.666666666666667	0.381679389312977	Fair agreement	0.00120928293282674	0.343030146138244
PAES	EPvsED	EP	ED	0.666666666666667	0.410909090909091	Moderate agreement	0.00028320399850168	0.261464129949111
SMPSO	HVvsED	HV	ED	0.666666666666667	0.373711340206185	Fair agreement	0.00169833772006112	0.197897126210367
SMPSO	EPvsGS	EP	GS	0.666666666666667	0.295652173913043	Fair agreement	0.0197322384494798	0.72123337462776
SPEA2	EPvsED	EP	ED	0.666666666666667	0.297687861271676	Fair agreement	0.0187993974800743	0.644369805637025
MOCELL	HVvsGD	HV	GD	0.648148148148148	0.351453855878635	Fair agreement	0.0024580008569004	0.14895400671142
MOCELL	HVvsED	HV	ED	0.648148148148148	0.371323529411765	Fair agreement	0.00104797835551118	0.68777635716588
MOCELL	GDvsPFS	GD	PFS	0.648148148148148	0.40625	Moderate agreement	0.000158848051817095	0.0014355858803625
MOCELL	EDvsPFS	ED	PFS	0.648148148148148	0.40625	Moderate agreement	0.000158848051817095	0.203542081679365
NSGAII	HVvsED	HV	ED	0.648148148148148	0.403141361256545	Moderate agreement	0.000192515432828499	0.311615552368614
SPEA2	HVvsED	HV	ED	0.648148148148148	0.275935074100212	Fair agreement	0.0243356612013731	0.766739550758117
CELLDE	IGDvsPFS	IGD	PFS	0.64	0.310344827586207	Fair agreement	0.0109168969291045	0.0690559503515385
CELLDE	GDvsPFS	GD	PFS	0.64	0.329359165424739	Fair agreement	0.00608580875547826	0.197897126210368
MOCELL	EPvsGD	EP	GD	0.62962962962963	0.300970873786408	Fair agreement	0.00944153921373991	0.38146026539792
MOCELL	EPvsED	EP	ED	0.62962962962963	0.333333333333333	Fair agreement	0.00308494966027206	0.911509513932833
MOCELL	GDvsGS	GD	GS	0.62962962962963	0.273705447209146	Fair agreement	0.0200980737826592	0.675498935438359
NSGAII	HVvsPFS	HV	PFS	0.62962962962963	0.437206878582595	Moderate agreement	0.00000414954147975877	0.00376771755848299
NSGAII	EPvsED	EP	ED	0.62962962962963	0.3717277486911	Fair agreement	0.000531116580766211	0.297847529044663
SMPSO	HVvsGS	HV	GS	0.62962962962963	0.264305177111717	Fair agreement	0.0252558098325006	0.732528123940765
SMPSO	EPvsGD	EP	GD	0.62962962962963	0.292730844793713	Fair agreement	0.0120524578506013	0.117476427567091
SPEA2	HVvsPFS	HV	PFS	0.62962962962963	0.327102803738318	Fair agreement	0.00391160435250959	0.0320716408252653
SPEA2	IGDvsPFS	IGD	PFS	0.62962962962963	0.281437125748503	Fair agreement	0.0164632050447219	0.00254094990016995
SPEA2	GDvsGS	GD	GS	0.62962962962963	0.208791208791209	Fair agreement	0.0750242353245459	0.153280023171296
CELLDE	EPvsGS	EP	GS	0.62	0.314574314574315	Fair agreement	0.00654856495241274	0.00715824299218194
MOCELL	GSvsPFS	GS	PFS	0.611111111111111	0.32258064516129	Fair agreement	0.00296141485006784	0.0233313604308315
NSGAII	IGDvsPFS	IGD	PFS	0.611111111111111	0.409067222511725	Moderate agreement	0.0000152008654681346	0.0038467943048895
NSGAII	EPvsPFS	EP	PFS	0.611111111111111	0.409375	Moderate agreement	0.0000147847726359451	0.00547214710669706
SMPSO	EPvsED	EP	ED	0.611111111111111	0.23943661971831	Fair agreement	0.0359478811976841	0.391625176271089
SPEA2	GSvsED	GS	ED	0.611111111111111	0.250495703899538	Fair agreement	0.0279663676521937	0.180359554115408
CELLDE	HVvsGS	HV	GS	0.6	0.301675977653631	Fair agreement	0.00675407812670048	0.00350341640845833
CELLDE	GSvsED	GS	ED	0.6	0.306518723994452	Fair agreement	0.0056973252858018	0.0119861763254178
MOCELL	IGDvsPFS	IGD	PFS	0.592592592592593	0.274725274725275	Fair agreement	0.0111408705551604	0.0515993444177123
NSGAII	GDvsGS	GD	GS	0.592592592592593	0.261194029850746	Fair agreement	0.0166629254074551	0.180116406479464
SPEA2	HVvsC	HV	C	0.592592592592593	0.33889816360601	Fair agreement	0.000799981517802917	0.00136948992286872
SPEA2	EPvsPFS	EP	PFS	0.592592592592593	0.25703564727955	Fair agreement	0.0187060995061897	0.00893927790408211
CELLDE	EDvsPFS	ED	PFS	0.58	0.254790631653655	Fair agreement	0.0203073597770854	0.201914157145573
MOCELL	HVvsPFS	HV	PFS	0.574074074074074	0.265957446808511	Fair agreement	0.0107856413815764	0.24002697758829
NSGAII	GDvsPFS	GD	PFS	0.574074074074074	0.353461738677772	Fair agreement	0.000153667411705749	0.0081006418749624
NSGAII	EDvsPFS	ED	PFS	0.574074074074074	0.356143079315708	Fair agreement	0.000126740078013055	0.0858010874001229
PAES	IGDvsPFS	IGD	PFS	0.574074074074074	0.262032085561497	Fair agreement	0.0122360931704433	0.311615552368614
PAES	GDvsPFS	GD	PFS	0.574074074074074	0.258064516129032	Fair agreement	0.0138461275451282	0.159666162759795
SPEA2	IGDvsC	IGD	C	0.574074074074074	0.284974093264249	Fair agreement	0.00551380362121878	0.000639661783318478
SPEA2	GSvsPFS	GS	PFS	0.574074074074074	0.273684210526316	Fair agreement	0.00831449477595791	0.00458077048271107
CELLDE	HVvsPFS	HV	PFS	0.56	0.206921413121846	Fair agreement	0.0511969801702025	0.114423688749821
CELLDE	IGDvsGS	IGD	GS	0.56	0.263721552878179	Fair agreement	0.0115276836891944	0.000395785002993715
CELLDE	IGDvsC	IGD	C	0.56	0.360093077370564	Fair agreement	0.0000791838987258542	0.00006523112203023
CELLDE	GDvsGS	GD	GS	0.56	0.259757738896366	Fair agreement	0.0130898808265466	0.0016262239102446
PAES	HVvsPFS	HV	PFS	0.555555555555556	0.240773286467487	Fair agreement	0.0177605147633645	0.241617130461059
PAES	EPvsPFS	EP	PFS	0.555555555555556	0.232682060390764	Fair agreement	0.0224228524586324	0.308022171558994
SPEA2	EPvsC	EP	C	0.555555555555556	0.283582089552239	Fair agreement	0.00386179833484668	0.00053603085652661
SPEA2	GDvsPFS	GD	PFS	0.555555555555556	0.137724550898204	Slight agreement	0.148289320807684	0.00769394263309291
SPEA2	EDvsPFS	ED	PFS	0.555555555555556	0.195530726256983	Slight agreement	0.0551945548688356	0.0940655027753466
SPEA2	EDvsC	ED	C	0.555555555555556	0.273949579831933	Fair agreement	0.00571878486294786	0.0128580011562976
CELLDE	EPvsPFS	EP	PFS	0.54	0.175627240143369	Slight agreement	0.0814553121443006	0.0460117056892314
CELLDE	EDvsC	ED	C	0.54	0.339460080413555	Fair agreement	0.000138774791933249	0.000225970331048396
CELLDE	PFSvsC	PFS	C	0.54	0.314251639833035	Fair agreement	0.000757041382582369	0.00501125131707833
NSGAII	GDvsC	GD	C	0.537037037037037	0.364107395195478	Fair agreement	0.00000599170726167664	0.0000403830190168474
NSGAII	GSvsPFS	GS	PFS	0.537037037037037	0.297971918876755	Fair agreement	0.00115528988313329	0.00941087812507171
PAES	GSvsPFS	GS	PFS	0.537037037037037	0.20774647887324	Fair agreement	0.035136435015818	0.528206335517037
SMPSO	IGDvsGS	IGD	GS	0.537037037037037	0.0963855421686748	Slight agreement	0.23392058717613	0.545198693186285
SPEA2	GDvsC	GD	C	0.537037037037037	0.22279792746114	Fair agreement	0.023447722899912	NA
CELLDE	HVvsC	HV	C	0.52	0.311926605504587	Fair agreement	0.000404002030662709	0.000024979977724652
CELLDE	GDvsC	GD	C	0.52	0.303540336622171	Fair agreement	0.000696259936758703	0.000169742435552826
MOCELL	EPvsPFS	EP	PFS	0.518518518518518	0.178947368421053	Slight agreement	0.05869337134745	0.129180499254315
MOCELL	PFSvsC	PFS	C	0.518518518518518	0.309734513274336	Fair agreement	0.0002736915148146	0.000886544274141454
NSGAII	GSvsED	GS	ED	0.518518518518518	0.183246073298429	Slight agreement	0.0532964097222013	0.469297111827604
SMPSO	IGDvsPFS	IGD	PFS	0.518518518518518	0.208121827411167	Fair agreement	0.0284040690926386	0.0703210628400228
SPEA2	GSvsC	GS	C	0.518518518518518	0.254777070063694	Fair agreement	0.00570906593798026	0.000279667580895798
SPEA2	PFSvsC	PFS	C	0.518518518518518	0.193103448275862	Slight agreement	0.0421676002894267	0.445921698363123
CELLDE	GSvsPFS	GS	PFS	0.5	0.227441285537701	Fair agreement	0.014693426053404	0.000439849652838829
NSGAII	HVvsC	HV	C	0.5	0.311939594148183	Fair agreement	0.000092858027060827	0.0000333270293872238
NSGAII	IGDvsC	IGD	C	0.5	0.316776007497657	Fair agreement	0.0000601747767309257	0.0000355306743274234
NSGAII	EPvsC	EP	C	0.5	0.312588401697313	Fair agreement	0.0000877338418902029	0.000033914146399022
NSGAII	EDvsC	ED	C	0.5	0.293604651162791	Fair agreement	0.000392387516798376	0.00324519306527833
NSGAII	PFSvsC	PFS	C	0.5	0.254219948849105	Fair agreement	0.00385496967124555	NA
SMPSO	HVvsPFS	HV	PFS	0.5	0.179054054054054	Slight agreement	0.0502648632848243	0.0619990757369439
SMPSO	GDvsPFS	GD	PFS	0.5	0.173469387755102	Slight agreement	0.0573513651912794	0.0345104448215474
SMPSO	GSvsPFS	GS	PFS	0.5	0.164948453608247	Slight agreement	0.0693399763478685	0.0128017275871108
NSGAII	GSvsC	GS	C	0.481481481481481	0.289139633286319	Fair agreement	0.000242788992677156	0.0000366863571947236
SMPSO	GDvsGS	GD	GS	0.481481481481481	0.00917431192660543	Slight agreement	0.471842813135744	0.236687514924387
SMPSO	GSvsED	GS	ED	0.481481481481481	-0.0174966352624495	No agreement	0.552138780754458	0.397833594656796
CELLDE	EPvsC	EP	C	0.48	0.261783077796706	Fair agreement	0.00213506093573068	0.00000953740694261598
CELLDE	GSvsC	GS	C	0.46	0.254966887417219	Fair agreement	0.00171752293989369	0.0000293200615591221
MOCELL	GDvsC	GD	C	0.444444444444444	0.277753009362461	Fair agreement	0.0000972053483903057	0.00000138005703129325
SMPSO	EPvsPFS	EP	PFS	0.444444444444444	0.0737564322469983	Slight agreement	0.253497692094569	0.0478007536121919
MOCELL	HVvsC	HV	C	0.425925925925926	0.219216417910448	Fair agreement	0.00363122821902739	0.0000226898184352426
MOCELL	EDvsC	ED	C	0.425925925925926	0.220670391061453	Fair agreement	0.00334469902002954	0.000130193149692028
PAES	GDvsC	GD	C	0.425925925925926	0.258635961027458	Fair agreement	0.000215166539845102	8.50048066190744e-07
PAES	PFSvsC	PFS	C	0.425925925925926	0.227146814404432	Fair agreement	0.00227964709880091	0.0000803740541663625
SMPSO	HVvsC	HV	C	0.425925925925926	0.237704918032787	Fair agreement	0.00114193105413374	0.00000400059119594916
SMPSO	GDvsC	GD	C	0.425925925925926	0.256	Fair agreement	0.000272374225856131	0.00000223942900225337
SMPSO	EDvsC	ED	C	0.425925925925926	0.256	Fair agreement	0.000272374225856131	0.00000223942900225337
PAES	EDvsPFS	ED	PFS	0.407407407407407	0.0120068610634648	Slight agreement	0.456991721983201	0.852821011785983
SMPSO	IGDvsC	IGD	C	0.407407407407407	0.219512195121951	Fair agreement	0.00208716858391789	0.00000324157935222306
MOCELL	IGDvsC	IGD	C	0.388888888888889	0.195121951219512	Slight agreement	0.00544232701975322	3.2206727081177e-07
PAES	HVvsC	HV	C	0.388888888888889	0.196935556557008	Slight agreement	0.00490919190040007	0.00000719861198147781
PAES	IGDvsC	IGD	C	0.388888888888889	0.208351843625056	Fair agreement	0.00242449460942518	0.00000199842986554331
SMPSO	EDvsPFS	ED	PFS	0.388888888888889	-0.0136518771331057	No agreement	0.549186926154683	0.034809018123794
MOCELL	EPvsC	EP	C	0.37037037037037	0.159340659340659	Slight agreement	0.0215609834011659	0.0000154404982911013
MOCELL	GSvsC	GS	C	0.37037037037037	0.172227231740307	Slight agreement	0.0120332555266033	9.99119767040939e-07
PAES	GSvsC	GS	C	0.37037037037037	0.174460431654676	Slight agreement	0.0107721420503102	0.0000026312832321732
PAES	EDvsC	ED	C	0.37037037037037	0.155085135757018	Slight agreement	0.0256502121354558	0.000149454971438788
SMPSO	EPvsC	EP	C	0.37037037037037	0.17741935483871	Slight agreement	0.00925783832194005	9.99119767040939e-07
PAES	EPvsC	EP	C	0.351851851851852	0.156626506024096	Slight agreement	0.0179897890752262	0.00000525515263323477
SMPSO	GSvsC	GS	C	0.314814814814815	0.104838709677419	Slight agreement	0.0820105317762072	0.00000344212897586739
SMPSO	PFSvsC	PFS	C	0.277777777777778	-0.0173913043478261	No agreement	0.579223526572332	0.00879593611858555
